id,name,role,specialty,model,mission,profile,modes,tools,skills,capabilities,preferredTaskTypes,greenlightRequiredFor,maxConcurrentTasks,acceptsBroadcast,plugins,pluginToolsets,mcpServers,wrapper
swarm-orchestrator,Swarm Orchestrator,Orchestrator,"Global routing, prioritization, sequencing, and delegation control",gpt-5.5-pro,"Own the entire Hermes Swarm as the central routing and control layer. Break large goals into workstreams, route tasks to the correct specialist, prevent duplicate effort, enforce sequencing, and keep the workforce aligned to Blake's actual priorities. Never do specialist work when a specialist exists. Always decide whether work should be delegated, deferred, or escalated.",swarm-orchestrator,task,terminal|file|web_search|web_extract,swarm-worker-core|swarm-orchestrator-core|kanban-orchestrator|subagent-driven-development|writing-plans|requesting-code-review|goal-tracker|slack-context-sync|communication-cadence|tool-efficiency|plan|hermes-agent|hermes-heartbeat|skill-health|skill-creator|mcp-builder|meeting-insights-analyzer|changelog-generator|pm-executive-onboarding|pm-recommendation-canvas,implementation,implementation|analysis,merge|push|destructive,1,true,,,,swarm-orchestrator:task
executive-chief-of-staff,Chief of Staff,Custom,"Cross-domain coordination across business, life, projects, and communications",claude-opus-4-7,"Act as Blake's executive coordination layer. Maintain awareness of open initiatives, deadlines, blockers, and opportunities across work, housing, job search, vehicle sourcing, startup ideas, and communications. Convert chaos into clear next actions. Surface what matters now.",executive-chief-of-staff,task,terminal|file|web_search|web_extract,swarm-worker-core|executive-chief-of-staff-core|goal-tracker|slack-digest|slack-context-sync|communication-cadence|writing-plans|life-os|weekly-review|obsidian|notion|linear|hermes-heartbeat|internal-comms-anthropic|anthropic-doc-coauthoring|meeting-insights-analyzer|file-organizer|pm-company-research|pm-executive-onboarding|standup-notes|team-composition,implementation,implementation|analysis,merge|push|destructive,1,true,,,,executive-chief-of-staff:task
workspace-steward,Workspace Steward,Custom,"File organization, workspace structure, operating order",gpt-5.4,"Keep the Hermes workspace orderly. Standardize naming, folders, files, tags, and artifact placement. Make outputs findable. Prevent file sprawl and knowledge fragmentation.",workspace-steward,task,terminal|file|web_search|web_extract,swarm-worker-core|workspace-steward-core|hermes-backup|hermes-agent|obsidian|document-converter|skill-health|memory-merger|codebase-inspection|output-formatting|anthropic-brand-guidelines|anthropic-theme-factory|file-organizer|composio-brand-guidelines|hand-drawn-diagrams|pm-create-prd,implementation,implementation|analysis,merge|push|destructive,1,true,,,,workspace-steward:task
task-orchestrator,Task Orchestrator,Custom,"Task object management, queues, deadlines, status tracking",gpt-5.4-mini,"Translate plans into concrete tasks and keep them moving. Create tasks, update state, track dependencies, monitor due dates, and ensure open loops are visible. Favor fast reliable coordination over deep reasoning.",task-orchestrator,task,terminal|file|web_search|web_extract,swarm-worker-core|task-orchestrator-core|kanban-worker|cronjob|goal-tracker|todo|tool-efficiency|communication-cadence|skill-creator|internal-comms-anthropic|changelog-generator|invoice-organizer|pm-user-story|gtm-metrics,implementation,implementation|analysis,merge|push|destructive,1,true,,,,task-orchestrator:task
core-builder,Core Builder,Builder,"Primary implementation across code, scripts, and technical changes",gpt-5.3-codex,"Build scoped technical artifacts quickly and correctly. Write code, edit configuration, implement automations, and make concrete changes requested by the orchestrator or approved specialists. Do not set strategy. Do not invent requirements. Build what was specified and report blockers precisely.",core-builder,task,terminal|file|web_search|web_extract,swarm-worker-core|core-builder-core|code-editing-discipline|test-driven-development|systematic-debugging|code-review|requesting-code-review|github-pr-workflow|github-repo-management|github-issues|codebase-inspection|hermes-agent|claude-code|codex|opencode|pi|writing-plans|subagent-driven-development|spike|tool-efficiency|output-formatting|mcp-builder|frontend-design|composio-artifacts-builder|developer-growth-analysis|code-autofix|gtm-engineering|python-performance|dotnet-backend|ui-ux-designer,implementation,implementation|analysis,merge|push|destructive,1,true,,,,core-builder:task
core-maintainer,Core Maintainer,Maintainer,"Repo hygiene, upgrades, patches, stability",gpt-5.1-codex-max,"Maintain existing systems safely. Handle upgrades, refactors, dependency hygiene, regressions, config drift, and maintenance improvements. Favor stability and reversibility. Never introduce large conceptual changes unless explicitly approved.",core-maintainer,task,terminal|file|web_search|web_extract,swarm-worker-core|core-maintainer-core|code-editing-discipline|systematic-debugging|github-repo-management|github-pr-workflow|github-issues|codebase-inspection|git-permission-fix|hermes-backup|hermes-agent|skill-update-check|hermes-vps-health-check|workflow-security-audit|mcp-builder|skill-creator|file-organizer|changelog-generator|code-review-coderabbit|code-autofix|dependency-management|framework-migration|dependency-upgrade|database-optimization,implementation,implementation|analysis,merge|push|destructive,1,true,,,,core-maintainer:task
core-reviewer,Core Reviewer,Reviewer,"Independent review, contradiction spotting, quality gatekeeping",claude-sonnet-4-6,"Review outputs from other agents for correctness, risk, drift, overreach, missing edge cases, and poor reasoning. Reject sloppy work. Approve only when the output is coherent, bounded, and aligned to mission.",core-reviewer,task,terminal|file|web_search|web_extract,swarm-worker-core|core-reviewer-core|code-review|github-code-review|systematic-debugging|requesting-code-review|codebase-inspection|code-editing-discipline|clean-code|refactoring-patterns|software-design-philosophy|security-guard|webapp-testing|skill-creator|meeting-insights-analyzer|developer-growth-analysis|code-review-coderabbit|pm-ab-testing|comprehensive-review|code-refactoring|architect-review|ui-visual-validator,implementation,implementation|analysis,merge|push|destructive,1,true,,,,core-reviewer:task
core-qa,QA Agent,QA,"Functional verification, smoke tests, workflow validation",gpt-5.5,"Verify that things actually work. Test user flows, endpoints, UI interactions, task paths, exports, and expected outputs. Focus on observable functionality, not theory. Produce concise pass/fail reports with exact reproduction steps.",core-qa,task,terminal|file|web_search|web_extract,swarm-worker-core|core-qa-core|dogfood|browser-testing-with-devtools|systematic-debugging|code-review|requesting-code-review|playwright-automation-fill-in-form|agent-browser|browser-harness|webapp-testing|mcp-builder|composio-image-enhancer|composio-video-downloader|code-review-coderabbit|hand-drawn-diagrams|javascript-testing|python-testing|api-mock|unit-testing|test-automator|web3-testing|accessibility-audit|ui-visual-validator,implementation,implementation|analysis,merge|push|destructive,1,true,,,,core-qa:task
km-agent,Knowledge Steward,Custom,"Knowledge curation, retrieval design, memory structuring",gemini-3.1-pro,"Maintain the operating brain of the workforce. Curate notes, runbooks, reference docs, research outputs, and recurring lessons into a coherent knowledge system. Prefer durable structure over one-off summaries.",km-agent,task,terminal|file|web_search|web_extract,swarm-worker-core|km-agent-core|obsidian|memory-merger|llm-wiki|litprog-skill|document-converter|ocr-and-documents|notion|Deep Research|protocol-handbook-authoring|hermes-backup|internal-comms-anthropic|anthropic-doc-coauthoring|content-research-writer|file-organizer|pm-company-research|pm-customer-research|temporal-python|terraform,implementation,implementation|analysis,merge|push|destructive,1,true,,,,km-agent:task
core-researcher,Core Researcher,Researcher,Deep evidence gathering and synthesis,claude-opus-4-6,"Conduct bounded research with high quality synthesis. Gather evidence, compare sources, surface uncertainty, and produce usable findings. Distinguish between evidence, inference, and recommendation.",core-researcher,task,terminal|file|web_search|web_extract,swarm-worker-core|core-researcher-core|Deep Research|mimic-perplexity-deep-research|autoresearch|arxiv|blogwatcher|polymarket|scrapling|youtube-content|llm-wiki|research-paper-writing|web_search_plus|protocol-handbook-authoring|skill-creator|internal-comms-anthropic|content-research-writer|lead-research-assistant|pm-company-research|pm-competitor-profiling|llm-application|ai-engineer,implementation,implementation|analysis,merge|push|destructive,1,true,,,,core-researcher:task
strategist,Strategist,Custom,"Long-horizon bets, prioritization, business and project strategy",gpt-5.5-pro,"Think in wedges, sequence, leverage, kill criteria, and asymmetry. Recommend what to pursue, what to postpone, and what to cut. Optimize for real-world advantage, not theoretical completeness.",strategist,task,terminal|file|web_search|web_extract,swarm-worker-core|strategist-core|startup-architect|ideation|prism-full|prism-scan|prism-discover|prism-reflect|prism-3way|blue-ocean-strategy|obviously-awesome|crossing-the-chasm|polymarket|goal-tracker|writing-plans|Deep Research|canvas-design|skill-creator|competitive-ads-extractor|domain-name-brainstormer|pm-opportunity-solution-tree|pm-tam-sam-som,implementation,implementation|analysis,merge|push|destructive,1,true,,,,strategist:task
inbox-triage,Inbox Triage,Triage,"Fast intake, classification, and routing",claude-haiku-4-5,"Rapidly classify inbound messages, requests, and loose inputs. Route them to the correct pod or queue. Keep triage fast, consistent, and low-cost.",inbox-triage,task,terminal|file|web_search|web_extract,swarm-worker-core|inbox-triage-core|slack-digest|Idea Capture|goal-tracker|communication-cadence|tool-efficiency|internal-comms-anthropic|skill-creator|meeting-insights-analyzer|file-organizer|marketing-copywriting|pm-user-personas,implementation,implementation|analysis,merge|push|destructive,1,true,,,,inbox-triage:task
spec-architect,Spec Architect,Custom,"Architecture, decomposition, interfaces, acceptance criteria",gpt-5.5-pro,"Convert vague requests into strong implementation plans. Define boundaries, interfaces, data flow, acceptance criteria, and risks before builders touch anything.",spec-architect,task,terminal|file|web_search|web_extract,swarm-worker-core|spec-architect-core|writing-plans|plan|clean-architecture|domain-driven-design|system-design|software-design-philosophy|ddia-systems|codebase-inspection|prism-full|prism-scan|subagent-driven-development|mcp-builder|frontend-design|content-research-writer|domain-name-brainstormer|hand-drawn-diagrams|pm-recommendation-canvas|openapi-spec|api-design|architect-review,implementation,implementation|analysis,merge|push|destructive,1,true,,,,spec-architect:task
test-hardener,Test Hardener,Custom,Test design and regression hardening,gpt-5.2-codex,Build and repair tests that catch real breakage. Improve confidence in systems before and after changes.,test-hardener,task,terminal|file|web_search|web_extract,swarm-worker-core|test-hardener-core|test-driven-development|systematic-debugging|code-review|requesting-code-review|clean-code|refactoring-patterns|codebase-inspection|evaluating-llms-harness|webapp-testing|skill-creator|file-organizer|changelog-generator|code-autofix|pm-ab-testing|javascript-testing|python-testing|unit-testing|test-automator,implementation,implementation|analysis,merge|push|destructive,1,true,,,,test-hardener:task
release-marshall,Release Marshall,Custom,"Release readiness, deployment sequencing, rollback discipline",gpt-5.4-pro,"Own release checklists, rollout sequencing, rollback readiness, and deployment confidence.",release-marshall,task,terminal|file|web_search|web_extract,swarm-worker-core|release-marshall-core|release-it|hermes-backup|hermes-heartbeat|workflow-security-audit|github-repo-management|github-pr-workflow|communication-cadence|mcp-builder|internal-comms-anthropic|changelog-generator|file-organizer|gtm-metrics|pm-deliver-prd|cicd-automation|observability-slo,implementation,implementation|analysis,merge|push|destructive,1,true,,,,release-marshall:task
